ID;Maschine;Datum;Uhrzeit;Drehzahl;Leistungsaufnahme;Vibration;Lautstaerke;Temperatur;FehlerID;Produktionsprogramm;SollMenge;IstMenge;Ausschuss
ABC100102;XL400_01;2018-01-01;00:51:00;100;18.396;0.088;74.868;100;0000;PP001;2350;2350;3
ABC100103;XL400_01;2018-01-01;00:51:30;100;18.478;0.184;74.998;100;0000;PP001;2350;2350;1
ABC100104;XL400_01;2018-01-01;00:52:00;100;18.683;0.039;75.079;100;0000;PP001;2350;2350;4
ABC100105;XL400_01;2018-01-01;00:52:30;100;18.632;-0.033;74.95;100;0000;PP001;2350;2350;4
ABC100106;XL400_01;2018-01-01;00:53:00;100;18.457;0.016;75.001;100;0000;PP001;2350;2350;2
ABC100107;XL400_01;2018-01-01;00:53:30;100;18.403;-0.219;74.932;100;0000;PP001;2350;2350;5
ABC100108;XL400_01;2018-01-01;00:54:00;100;18.373;0.207;74.907;100;0000;PP001;2350;2350;18
ABC100109;XL400_01;2018-01-01;00:54:30;100;18.462;0.092;74.976;100;0000;PP001;2350;2350;13
ABC100110;XL400_01;2018-01-01;00:55:00;100;18.44;0.137;75.129;100;0000;PP001;2350;2350;9
ABC100111;XL400_01;2018-01-01;00:55:30;100;18.412;0.032;75.086;100;0000;PP001;2350;2350;10
ABC100112;XL400_01;2018-01-01;00:56:00;100;18.462;0.08;74.824;100;0000;PP001;2350;2350;17
ABC100113;XL400_01;2018-01-01;00:56:30;100;18.284;-0.055;75.073;100;0000;PP001;2350;2350;3
ABC100114;XL400_01;2018-01-01;00:57:00;100;18.6;-0.059;74.997;100;0000;PP001;2350;2350;16
ABC100115;XL400_01;2018-01-01;00:57:30;100;18.435;-0.004;74.987;100;0000;PP001;2350;2350;1
ABC100116;XL400_01;2018-01-01;00:58:00;100;18.402;-0.192;74.803;100;0000;PP001;2350;2350;9
ABC100117;XL400_01;2018-01-01;00:58:30;100;18.427;-0.11;75.022;100;0000;PP001;2350;2350;1
ABC100118;XL400_01;2018-01-01;00:59:00;100;18.448;-0.128;75.104;100;0000;PP001;2350;2350;3
ABC100119;XL400_01;2018-01-01;00:59:30;100;18.598;-0.067;75.088;100;0000;PP001;2350;2350;18
ABC100120;XL400_01;2018-01-01;01:00:00;100;18.573;-0.138;75.009;100;0000;PP001;2350;2350;5
ABC100121;XL400_01;2018-01-01;01:00:30;100;18.462;-0.025;74.953;100;0000;PP001;2350;2350;1
ABC100122;XL400_01;2018-01-01;01:01:00;100;18.602;0.075;74.983;100;0000;PP001;2350;2350;19
ABC100123;XL400_01;2018-01-01;01:01:30;100;18.336;0.095;75.141;100;0000;PP001;2350;2350;17
ABC100124;XL400_01;2018-01-01;01:02:00;100;18.542;0.172;75.129;100;0000;PP001;2350;2350;3
ABC100125;XL400_01;2018-01-01;01:02:30;100;18.641;0.023;75.059;100;0000;PP001;2350;2350;14
ABC100126;XL400_01;2018-01-01;01:03:00;100;18.611;0.082;74.873;100;0000;PP001;2350;2350;1
ABC100127;XL400_01;2018-01-01;01:03:30;100;18.651;0.122;74.93;100;0000;PP001;2350;2350;9
ABC100128;XL400_01;2018-01-01;01:04:00;100;18.502;0.134;75.015;100;0000;PP001;2350;2350;19
ABC100129;XL400_01;2018-01-01;01:04:30;100;18.647;-0.158;75.135;100;0000;PP001;2350;2350;11
ABC100130;XL400_01;2018-01-01;01:05:00;100;18.532;0.123;74.982;100;0000;PP001;2350;2350;13
ABC100131;XL400_01;2018-01-01;01:05:30;100;18.638;-0.055;74.992;100;0000;PP001;2350;2350;10
ABC100132;XL400_01;2018-01-01;01:06:00;100;18.56;0.007;74.977;100;0000;PP001;2350;2350;2
ABC100133;XL400_01;2018-01-01;01:06:30;100;18.362;-0.064;75.077;100;0000;PP001;2350;2350;5
ABC100134;XL400_01;2018-01-01;01:07:00;100;18.581;0.134;74.915;100;0000;PP001;2350;2350;3
ABC100135;XL400_01;2018-01-01;01:07:30;100;18.493;-0.058;74.994;100;0000;PP001;2350;2350;18
ABC100136;XL400_01;2018-01-01;01:08:00;100;18.577;0.135;75.048;100;0000;PP001;2350;2350;6
ABC100137;XL400_01;2018-01-01;01:08:30;100;18.549;-0.193;75.101;100;0000;PP001;2350;2350;5
ABC100138;XL400_01;2018-01-01;01:09:00;100;18.633;0.113;75.11;100;0000;PP001;2350;2350;14
ABC100139;XL400_01;2018-01-01;01:09:30;100;18.408;-0.108;74.992;100;0000;PP001;2350;2350;14
ABC100140;XL400_01;2018-01-01;01:10:00;100;18.294;0.073;74.921;100;0000;PP001;2350;2350;19
ABC100141;XL400_01;2018-01-01;01:10:30;100;18.534;-0.088;74.901;100;0000;PP001;2350;2350;10
ABC100142;XL400_01;2018-01-01;01:11:00;100;18.671;-0.006;75.177;100;0000;PP001;2350;2350;19
ABC100143;XL400_01;2018-01-01;01:11:30;100;18.648;-0.058;75.074;100;0000;PP001;2350;2350;9
ABC100144;XL400_01;2018-01-01;01:12:00;100;18.432;-0.271;74.941;100;0000;PP001;2350;2350;2
ABC100145;XL400_01;2018-01-01;01:12:30;100;18.525;-0.066;75.033;100;0000;PP001;2350;2350;8
ABC100146;XL400_01;2018-01-01;01:13:00;100;18.537;-0.104;75.084;100;0000;PP001;2350;2350;16
ABC100147;XL400_01;2018-01-01;01:13:30;100;18.488;0.022;74.995;100;0000;PP001;2350;2350;5
ABC100148;XL400_01;2018-01-01;01:14:00;100;18.247;-0.061;74.869;100;0000;PP001;2350;2350;14
ABC100149;XL400_01;2018-01-01;01:14:30;100;18.569;-0.072;75.095;100;0000;PP001;2350;2350;12
ABC100150;XL400_01;2018-01-01;01:15:00;100;18.469;0.005;75.095;100;0000;PP001;2350;2350;9
ABC100151;XL400_01;2018-01-01;01:15:30;100;18.391;-0.084;74.972;100;0000;PP001;2350;2350;16
ABC100152;XL400_01;2018-01-01;01:16:00;100;18.529;-0.002;74.949;100;0000;PP001;2350;2350;12
ABC100153;XL400_01;2018-01-01;01:16:30;100;18.492;0.131;74.939;100;0000;PP001;2350;2350;12
ABC100154;XL400_01;2018-01-01;01:17:00;100;18.56;0.01;74.847;100;0000;PP001;2350;2350;16
ABC100155;XL400_01;2018-01-01;01:17:30;100;18.481;0.177;75.298;100;0000;PP001;2350;2350;5
ABC100156;XL400_01;2018-01-01;01:18:00;100;18.531;-0.065;75.188;100;0000;PP001;2350;2350;17
ABC100157;XL400_01;2018-01-01;01:18:30;100;18.276;-0.032;74.932;100;0000;PP001;2350;2350;5
ABC100158;XL400_01;2018-01-01;01:19:00;100;18.537;-0.113;74.874;100;0000;PP001;2350;2350;17
ABC100159;XL400_01;2018-01-01;01:19:30;100;18.481;0.013;74.995;100;0000;PP001;2350;2350;14
ABC100160;XL400_01;2018-01-01;01:20:00;100;18.593;0.053;74.894;100;0000;PP001;2350;2350;0
ABC100161;XL400_01;2018-01-01;01:20:30;100;18.527;0.04;74.969;100;0000;PP001;2350;2350;17
ABC100162;XL400_01;2018-01-01;01:21:00;100;18.43;0.017;74.969;100;0000;PP001;2350;2350;9
ABC100163;XL400_01;2018-01-01;01:21:30;100;18.332;0.01;75.13;100;0000;PP001;2350;2350;19
ABC100164;XL400_01;2018-01-01;01:22:00;100;18.434;0.007;75.18;100;0000;PP001;2350;2350;4
ABC100165;XL400_01;2018-01-01;01:22:30;100;18.459;0.069;75.181;100;0000;PP001;2350;2350;16
ABC100166;XL400_01;2018-01-01;01:23:00;100;18.659;-0.104;74.85;100;0000;PP001;2350;2350;17
ABC100167;XL400_01;2018-01-01;01:23:30;100;18.537;0.06;75.042;100;0000;PP001;2350;2350;12
ABC100168;XL400_01;2018-01-01;01:24:00;100;18.406;-0.178;74.965;100;0000;PP001;2350;2350;10
ABC100169;XL400_01;2018-01-01;01:24:30;100;18.454;0.154;75.144;100;0000;PP001;2350;2350;17
ABC100170;XL400_01;2018-01-01;01:25:00;100;18.547;0.007;75.069;100;0000;PP001;2350;2350;3
ABC100171;XL400_01;2018-01-01;01:25:30;100;18.601;0.03;74.947;100;0000;PP001;2350;2350;16
ABC100172;XL400_01;2018-01-01;01:26:00;0;2.138;0.093;24.997;99;A002;PP001;2350;0;0
ABC100173;XL400_01;2018-01-01;01:26:30;0;1.991;-0.346;24.904;98;A002;PP001;2350;0;0
ABC100174;XL400_01;2018-01-01;01:27:00;0;1.916;-0.089;25.124;97;A002;PP001;2350;0;0
ABC100175;XL400_01;2018-01-01;01:27:30;0;1.884;-0.04;24.994;96;A002;PP001;2350;0;0
ABC100176;XL400_01;2018-01-01;01:28:00;0;2.101;0.481;25.204;95;A002;PP001;2350;0;0
ABC100177;XL400_01;2018-01-01;01:28:30;0;2.212;0.198;25.077;94;A002;PP001;2350;0;0
ABC100178;XL400_01;2018-01-01;01:29:00;0;1.781;-0.066;25.02;93;A002;PP001;2350;0;0
ABC100179;XL400_01;2018-01-01;01:29:30;0;2.12;-0.41;24.971;92;A002;PP001;2350;0;0
ABC100180;XL400_01;2018-01-01;01:30:00;0;2.116;0.097;25.076;91;A002;PP001;2350;0;0
ABC100181;XL400_01;2018-01-01;01:30:30;0;2.087;0.076;24.969;90;A002;PP001;2350;0;0
ABC100182;XL400_01;2018-01-01;01:31:00;0;2.044;0.575;25.071;89;A002;PP001;2350;0;0
ABC100183;XL400_01;2018-01-01;01:31:30;0;1.992;-0.452;24.918;88;A002;PP001;2350;0;0
ABC100184;XL400_01;2018-01-01;01:32:00;0;1.957;0.311;25.038;87;A002;PP001;2350;0;0
ABC100185;XL400_01;2018-01-01;01:32:30;0;2.122;0.099;24.807;86;A002;PP001;2350;0;0
ABC100186;XL400_01;2018-01-01;01:33:00;0;2.243;-0.389;25.058;85;A002;PP001;2350;0;0
ABC100187;XL400_01;2018-01-01;01:33:30;0;1.98;0.415;25.011;84;A002;PP001;2350;0;0
ABC100188;XL400_01;2018-01-01;01:34:00;0;2.019;0.114;24.947;83;A002;PP001;2350;0;0
ABC100189;XL400_01;2018-01-01;01:34:30;0;1.998;0.512;24.873;82;A002;PP001;2350;0;0
ABC100190;XL400_01;2018-01-01;01:35:00;0;1.852;0.303;24.943;81;A002;PP001;2350;0;0
ABC100191;XL400_01;2018-01-01;01:35:30;0;2.109;-0.004;24.956;80;A002;PP001;2350;0;0
ABC100192;XL400_01;2018-01-01;01:36:00;0;2.032;0.146;24.98;79;A002;PP001;2350;0;0
ABC100193;XL400_01;2018-01-01;01:36:30;0;1.872;0.231;24.904;78;A002;PP001;2350;0;0
ABC100194;XL400_01;2018-01-01;01:37:00;0;1.855;-0.477;25.144;77;A002;PP001;2350;0;0
ABC100195;XL400_01;2018-01-01;01:37:30;0;1.89;-0.092;24.973;76;A002;PP001;2350;0;0
ABC100196;XL400_01;2018-01-01;01:38:00;0;1.909;-0.138;24.88;75;A002;PP001;2350;0;0
ABC100197;XL400_01;2018-01-01;01:38:30;0;2.037;0.226;25.061;74;A002;PP001;2350;0;0
ABC100198;XL400_01;2018-01-01;01:39:00;0;2.038;-0.031;25.118;73;A002;PP001;2350;0;0
ABC100199;XL400_01;2018-01-01;01:39:30;0;2.026;0.261;25.013;72;A002;PP001;2350;0;0
ABC100200;XL400_01;2018-01-01;01:40:00;0;2.028;-0.084;25.09;71;A002;PP001;2350;0;0
ABC100201;XL400_01;2018-01-01;01:40:30;0;2.143;0.098;25.115;70;A002;PP001;2350;0;0
ABC100202;XL400_01;2018-01-01;01:41:00;0;2.023;0.094;24.853;69;A002;PP001;2350;0;0
ABC100203;XL400_01;2018-01-01;01:41:30;0;2.015;0.002;24.935;68;A002;PP001;2350;0;0
ABC100204;XL400_01;2018-01-01;01:42:00;0;2.072;-0.613;24.982;67;A002;PP001;2350;0;0
ABC100205;XL400_01;2018-01-01;01:42:30;0;1.823;0.314;24.705;66;A002;PP001;2350;0;0
ABC100206;XL400_01;2018-01-01;01:43:00;0;1.936;-0.199;25.1;65;A002;PP001;2350;0;0
ABC100207;XL400_01;2018-01-01;01:43:30;0;1.939;-0.088;25.046;64;A002;PP001;2350;0;0
ABC100208;XL400_01;2018-01-01;01:44:00;0;1.978;-0.081;25.057;63;A002;PP001;2350;0;0
ABC100209;XL400_01;2018-01-01;01:44:30;0;1.955;0.075;25.054;62;A002;PP001;2350;0;0
ABC100210;XL400_01;2018-01-01;01:45:00;0;2.152;0.342;25.105;61;A002;PP001;2350;0;0
ABC100211;XL400_01;2018-01-01;01:45:30;0;1.965;-0.542;25.001;60;A002;PP001;2350;0;0
ABC100212;XL400_01;2018-01-01;01:46:00;0;1.909;0.031;24.973;59;A002;PP001;2350;0;0
ABC100213;XL400_01;2018-01-01;01:46:30;0;2.027;0.409;25.011;58;A002;PP001;2350;0;0
ABC100214;XL400_01;2018-01-01;01:47:00;0;2.044;-0.134;24.868;57;A002;PP001;2350;0;0
ABC100215;XL400_01;2018-01-01;01:47:30;0;1.922;0.463;24.998;56;A002;PP001;2350;0;0
ABC100216;XL400_01;2018-01-01;01:48:00;0;2.015;-0.048;24.833;55;A002;PP001;2350;0;0
ABC100217;XL400_01;2018-01-01;01:48:30;100;18.78;0.138;74.908;100;0000;PP001;2350;2350;18
ABC100218;XL400_01;2018-01-01;01:49:00;100;18.579;0.046;75.02;100;0000;PP001;2350;2350;19
ABC100219;XL400_01;2018-01-01;01:49:30;100;18.441;0.105;74.944;100;0000;PP001;2350;2350;19
ABC100220;XL400_01;2018-01-01;01:50:00;100;18.488;-0.065;74.872;100;0000;PP001;2350;2350;19
ABC100221;XL400_01;2018-01-01;01:50:30;100;18.45;-0.003;74.886;100;0000;PP001;2350;2350;2
ABC100222;XL400_01;2018-01-01;01:51:00;100;18.507;0.133;74.974;100;0000;PP001;2350;2350;8
ABC100223;XL400_01;2018-01-01;01:51:30;100;18.519;0.127;74.998;100;0000;PP001;2350;2350;4
ABC100224;XL400_01;2018-01-01;01:52:00;100;18.617;-0.007;75.05;100;0000;PP001;2350;2350;3
ABC100225;XL400_01;2018-01-01;01:52:30;100;18.456;-0.055;75.15;100;0000;PP001;2350;2350;10
ABC100226;XL400_01;2018-01-01;01:53:00;100;18.36;0.009;75.065;100;0000;PP001;2350;2350;8
ABC100227;XL400_01;2018-01-01;01:53:30;100;18.566;0.039;75.058;100;0000;PP001;2350;2350;8
ABC100228;XL400_01;2018-01-01;01:54:00;100;18.341;0.053;75.12;100;0000;PP001;2350;2350;14
ABC100229;XL400_01;2018-01-01;01:54:30;100;18.492;0.141;75.131;100;0000;PP001;2350;2350;9
ABC100230;XL400_01;2018-01-01;01:55:00;100;18.487;-0.055;74.959;100;0000;PP001;2350;2350;13
ABC100231;XL400_01;2018-01-01;01:55:30;100;18.322;-0.136;75.011;100;0000;PP001;2350;2350;5
ABC100232;XL400_01;2018-01-01;01:56:00;100;18.463;-0.04;74.793;100;0000;PP001;2350;2350;5
ABC100233;XL400_01;2018-01-01;01:56:30;100;18.639;-0.007;74.92;100;0000;PP001;2350;2350;1
ABC100234;XL400_01;2018-01-01;01:57:00;100;18.323;-0.241;74.985;100;0000;PP001;2350;2350;2
ABC100235;XL400_01;2018-01-01;01:57:30;100;18.622;0.061;75.019;100;0000;PP001;2350;2350;2
ABC100236;XL400_01;2018-01-01;01:58:00;100;18.547;-0.08;75.022;100;0000;PP001;2350;2350;12
ABC100237;XL400_01;2018-01-01;01:58:30;100;18.511;0.093;74.9;100;0000;PP001;2350;2350;9
ABC100238;XL400_01;2018-01-01;01:59:00;100;18.353;-0.073;74.952;100;0000;PP001;2350;2350;15
ABC100239;XL400_01;2018-01-01;01:59:30;100;18.707;-0.093;74.707;100;0000;PP001;2350;2350;13
ABC100240;XL400_01;2018-01-01;02:00:00;100;18.389;-0.148;74.752;100;0000;PP001;2350;2350;6
ABC100241;XL400_01;2018-01-01;02:00:30;100;18.444;0.006;75.054;100;0000;PP001;2350;2350;3
ABC100242;XL400_01;2018-01-01;02:01:00;100;18.538;-0.094;75.045;100;0000;PP001;2350;2350;17
ABC100243;XL400_01;2018-01-01;02:01:30;100;18.516;-0.017;75.026;100;0000;PP001;2350;2350;8
ABC100244;XL400_01;2018-01-01;02:02:00;100;18.451;-0.034;75.027;100;0000;PP001;2350;2350;1
ABC100245;XL400_01;2018-01-01;02:02:30;100;18.411;0.039;75.001;100;0000;PP001;2350;2350;2
